date,closed_c,O3_ppb
2014-07-21 17:00:00,41.8503502819,43.332
2014-07-21 18:00:00,39.391065867,40.173
2014-07-21 19:00:00,37.2669122847,42.889
2014-07-21 20:00:00,34.5241593805,6.9174
2014-07-21 21:00:00,26.7357833001,13.247
2014-07-21 22:00:00,23.4058562596,17.972
2014-07-22 00:00:00,22.5038557118,11.304
2014-07-22 01:00:00,17.1652038834,10.885
2014-07-22 02:00:00,15.2566331877,22.976
2014-07-22 03:00:00,17.1266055503,21.357
2014-07-22 04:00:00,14.3281154775,27.249
2014-07-22 05:00:00,14.0339152495,10.574
2014-07-22 06:00:00,16.2324161681,17.158
2014-07-22 07:00:00,28.0115669874,30.127
2014-07-22 09:00:00,32.3833496737,28.625
2014-07-22 10:00:00,36.7468172466,38.084
2014-07-22 11:00:00,42.6875388186,43.483
2014-07-22 14:00:00,46.2834981007,45.881
2014-07-22 15:00:00,46.6168853658,41.79
2014-07-22 19:00:00,41.3982335684,53.559
2014-07-22 20:00:00,36.3966564548,43.476
2014-07-22 21:00:00,29.2821149666,19.564
2014-07-22 22:00:00,26.2862336104,25.286
2014-07-22 23:00:00,24.1096916257,10.929
2014-07-23 00:00:00,23.234504321,24.648
2014-07-23 01:00:00,20.1000963423,32.361
2014-07-23 02:00:00,20.2596231099,26.698
2014-07-23 03:00:00,18.4101016517,20.222
2014-07-23 04:00:00,15.8921373772,6.892
2014-07-23 05:00:00,15.1037501334,8.4045
2014-07-23 06:00:00,18.9279172022,14.757
2014-07-23 07:00:00,28.3446769316,24.184
2014-07-23 08:00:00,25.9807977897,29.5
2014-07-23 09:00:00,28.0528627375,32.597
2014-07-23 11:00:00,41.1368921322,34.779
2014-07-23 12:00:00,50.4133011103,39.596
2014-07-23 13:00:00,49.6874124985,49.567
2014-07-23 14:00:00,40.5051816714,53.376
2014-07-23 15:00:00,39.6957623788,48.186
2014-07-23 16:00:00,38.5637278425,49.22
2014-07-23 17:00:00,37.279298272,36.566
2014-07-23 18:00:00,33.2880073214,30.58
2014-07-23 19:00:00,27.9038604308,34.545
2014-07-23 20:00:00,26.8073878647,37.979
2014-07-23 21:00:00,25.2767545399,29.17
2014-07-23 22:00:00,26.5846751603,25.536
2014-07-23 23:00:00,24.89371216,30.165
2014-07-24 01:00:00,21.193681431,17.629
2014-07-24 03:00:00,14.0978198875,16.836
2014-07-24 04:00:00,11.7684571104,20.441
2014-07-24 05:00:00,13.8983554576,15.789
2014-07-24 06:00:00,20.6581435012,6.6863
2014-07-24 07:00:00,33.0630538244,16.487
2014-07-24 08:00:00,35.4433683618,16.666
2014-07-24 09:00:00,46.6676346225,31.167
2014-07-24 10:00:00,45.5153328484,29.128
2014-07-24 11:00:00,50.2807889841,31.456
2014-07-24 12:00:00,47.8129853067,64.47
2014-07-24 13:00:00,35.9691286574,38.332
2014-07-24 14:00:00,34.4699542959,41.502
2014-07-24 15:00:00,44.6015665315,54.876
2014-07-24 16:00:00,47.6512548485,47.808
2014-07-24 17:00:00,42.782922298,54.672
2014-07-24 19:00:00,37.4909639723,31.465
2014-07-24 20:00:00,33.9855112233,37.12
2014-07-24 21:00:00,33.7391554008,40.291
2014-07-24 22:00:00,31.101024963,38.285
2014-07-24 23:00:00,29.1771588657,25.408
2014-07-25 00:00:00,28.8157763254,27.712
2014-07-25 01:00:00,26.3843798151,26.104
2014-07-25 02:00:00,25.633252317,31.483
2014-07-25 03:00:00,28.0636144374,18.95
2014-07-25 04:00:00,21.656463644,10.221
2014-07-25 05:00:00,19.564440789,13.246
2014-07-25 06:00:00,29.2958466113,9.3257
2014-07-25 07:00:00,34.8503269656,27.534
2014-07-25 08:00:00,39.9026260261,16.573
2014-07-25 09:00:00,42.471367767,25.453
