,Closed Conc.
2014-08-03 04:12:00,13.2
2014-08-03 05:16:00,12.3
2014-08-03 06:19:00,13.5
2014-08-03 07:23:00,17.1
2014-08-03 08:27:00,28.2
2014-08-03 09:31:00,37.4
2014-08-03 10:34:00,41.9
2014-08-03 11:38:00,44.8
2014-08-03 12:42:00,45.9
2014-08-03 13:46:00,46.7
2014-08-03 14:50:00,45.4
2014-08-03 15:54:00,45.4
2014-08-03 16:58:00,45.4
2014-08-03 18:02:00,43.5
2014-08-03 19:06:00,39.9
2014-08-03 20:10:00,34.1
2014-08-03 21:14:00,28.4
2014-08-03 22:18:00,23.9
2014-08-03 23:23:00,21.5
2014-08-03 23:56:00,19.9
2014-08-04 00:27:00,20.4
2014-08-04 01:30:00,18.7
2014-08-04 02:34:00,17.1
2014-08-04 03:38:00,16.0
2014-08-04 04:42:00,14.1
2014-08-04 05:46:00,13.5
2014-08-04 06:50:00,15.3
2014-08-04 07:54:00,20.6
2014-08-04 08:58:00,30.9
2014-08-04 10:01:00,37.7
2014-08-04 11:05:00,42.8
2014-08-04 12:09:00,44.8
2014-08-04 13:14:00,45.1
2014-08-04 14:18:00,45.3
2014-08-04 15:22:00,42.7
2014-08-04 16:26:00,39.4
2014-08-04 17:30:00,36.9
2014-08-04 18:34:00,33.0
2014-08-04 19:38:00,30.6
2014-08-04 20:42:00,28.5
2014-08-04 21:46:00,25.3
2014-08-04 22:50:00,24.1
2014-08-05 00:58:00,23.2
2014-08-05 02:02:00,20.9
2014-08-05 03:06:00,19.9
2014-08-05 04:10:00,19.0
2014-08-05 05:14:00,22.0
2014-08-05 14:42:00,24.8
2014-08-05 15:45:00,31.8
2014-08-05 16:49:00,30.8
2014-08-05 17:52:00,31.0
2014-08-05 18:56:00,32.0
2014-08-05 19:54:00,28.5
2014-08-05 21:03:00,24.4
2014-08-05 22:07:00,19.4
2014-08-05 23:12:00,18.0
2014-08-05 23:55:00,16.3
2014-08-06 00:16:00,15.8
2014-08-06 01:20:00,14.5
2014-08-06 02:23:00,13.5
2014-08-06 03:06:00,12.4
2014-08-06 04:31:00,13.5
2014-08-06 05:35:00,10.2
2014-08-06 06:39:00,12.6
2014-08-06 07:42:00,16.1
2014-08-06 08:46:00,30.9
2014-08-06 09:50:00,39.6
2014-08-06 10:54:00,44.5
2014-08-06 11:58:00,44.2
2014-08-06 17:18:00,42.6
2014-08-06 18:22:00,33.4
2014-08-06 19:27:00,31.5
2014-08-06 20:31:00,27.4
2014-08-06 21:35:00,25.3
2014-08-06 22:39:00,23.3
2014-08-07 00:47:00,20.8
2014-08-07 01:29:00,17.8
2014-08-07 02:55:00,15.2
2014-08-07 03:59:00,15.1
2014-08-07 05:02:00,14.7
2014-08-07 05:46:00,15.3
2014-08-07 07:10:00,16.9
2014-08-07 08:14:00,21.9
2014-08-07 09:18:00,28.3
2014-08-07 10:22:00,36.5
2014-08-07 11:26:00,38.2
2014-08-07 12:30:00,34.9
2014-08-07 13:34:00,33.4
2014-08-07 14:38:00,28.7
2014-08-07 15:42:00,37.8
2014-08-07 16:46:00,40.2
2014-08-07 17:51:00,39.4
2014-08-07 18:55:00,35.6
2014-08-07 19:59:00,29.6
2014-08-07 21:03:00,26.8
2014-08-07 22:07:00,21.9
2014-08-07 23:11:00,19.5
2014-08-07 23:43:00,16.6
2014-08-08 00:15:00,17.2
2014-08-08 01:19:00,13.7
2014-08-08 02:23:00,11.7
2014-08-08 03:27:00,10.5
2014-08-08 04:31:00,9.5
2014-08-08 05:35:00,9.3
2014-08-08 06:39:00,11.3
2014-08-08 07:43:00,14.5
2014-08-08 08:46:00,28.2
2014-08-08 09:50:00,36.4
2014-08-08 10:54:00,41.4
2014-08-08 11:58:00,42.1
2014-08-08 19:39:00,39.4
2014-08-08 20:43:00,29.8
2014-08-08 21:46:00,24.7
2014-08-08 22:50:00,21.1
2014-08-09 00:59:00,17.7
2014-08-09 02:03:00,16.3
2014-08-09 03:07:00,14.8
2014-08-09 04:11:00,13.2
2014-08-09 05:15:00,11.2
2014-08-09 06:20:00,10.6
2014-08-09 07:24:00,13.1
2014-08-09 08:28:00,23.1
2014-08-09 09:32:00,33.7
2014-08-09 10:36:00,42.2
2014-08-09 11:41:00,42.9
2014-08-09 15:58:00,40.9
2014-08-09 17:02:00,33.6
2014-08-09 18:06:00,23.9
2014-08-09 19:10:00,24.9
2014-08-09 20:15:00,25.7
2014-08-09 21:19:00,21.0
2014-08-09 22:23:00,18.3
2014-08-09 23:55:00,15.3
