date,closed_c,O3_ppb
2014-07-21 17:00:00,42.5164343599,43.332
2014-07-21 18:00:00,36.5078749918,40.173
2014-07-21 19:00:00,36.1020652971,42.889
2014-07-21 20:00:00,32.0725468711,6.9174
2014-07-21 21:00:00,24.1235994183,13.247
2014-07-21 22:00:00,18.5931142801,17.972
2014-07-22 00:00:00,19.4461439194,11.304
2014-07-22 01:00:00,15.9447567539,10.885
2014-07-22 02:00:00,14.3738037759,22.976
2014-07-22 03:00:00,17.9409750772,21.357
2014-07-22 04:00:00,15.4694747085,27.249
2014-07-22 05:00:00,13.5360433638,10.574
2014-07-22 06:00:00,15.0573706685,17.158
2014-07-22 07:00:00,33.4457734496,30.127
2014-07-22 09:00:00,36.4898702988,28.625
2014-07-22 10:00:00,39.5672794182,38.084
2014-07-22 11:00:00,41.8303546081,43.483
2014-07-22 14:00:00,43.0924572609,45.881
2014-07-22 15:00:00,45.8893374861,41.79
2014-07-22 19:00:00,39.0108327914,53.559
2014-07-22 20:00:00,34.8190051518,43.476
2014-07-22 21:00:00,28.4559773049,19.564
2014-07-22 22:00:00,25.715432075,25.286
2014-07-22 23:00:00,19.5945930692,10.929
2014-07-23 00:00:00,18.7447523905,24.648
2014-07-23 01:00:00,18.5012208354,32.361
2014-07-23 02:00:00,19.685469049,26.698
2014-07-23 03:00:00,15.996723808,20.222
2014-07-23 04:00:00,16.5038963094,6.892
2014-07-23 05:00:00,14.8143705243,8.4045
2014-07-23 06:00:00,13.660230347,14.757
2014-07-23 07:00:00,30.5622114628,24.184
2014-07-23 08:00:00,29.5376043819,29.5
2014-07-23 09:00:00,31.6274294944,32.597
2014-07-23 11:00:00,42.7044701587,34.779
2014-07-23 12:00:00,44.7158196567,39.596
2014-07-23 13:00:00,47.739267169,49.567
2014-07-23 14:00:00,39.7831836773,53.376
2014-07-23 15:00:00,39.4066888516,48.186
2014-07-23 16:00:00,41.8717819871,49.22
2014-07-23 17:00:00,44.5219804605,36.566
2014-07-23 18:00:00,34.6310120406,30.58
2014-07-23 19:00:00,33.431313576,34.545
2014-07-23 20:00:00,31.9957913373,37.979
2014-07-23 21:00:00,29.5504696416,29.17
2014-07-23 22:00:00,29.4579730082,25.536
2014-07-23 23:00:00,27.3271234333,30.165
2014-07-24 00:00:00,23.5156249384,9.1023
2014-07-24 01:00:00,20.6888235856,17.629
2014-07-24 03:00:00,13.5978263699,16.836
2014-07-24 04:00:00,10.9996603035,20.441
2014-07-24 05:00:00,13.8999929143,15.789
2014-07-24 06:00:00,20.3262011854,6.6863
2014-07-24 07:00:00,30.6680772207,16.487
2014-07-24 08:00:00,34.7677467595,16.666
2014-07-24 09:00:00,41.7229640877,31.167
2014-07-24 10:00:00,43.1898990956,29.128
2014-07-24 11:00:00,38.7475469393,31.456
2014-07-24 12:00:00,31.0468056852,64.47
2014-07-24 13:00:00,32.6298513152,38.332
2014-07-24 14:00:00,36.5148583418,41.502
2014-07-24 15:00:00,35.4502749344,54.876
2014-07-24 16:00:00,33.7552556239,47.808
2014-07-24 17:00:00,43.4849215626,54.672
2014-07-24 19:00:00,32.5639867944,31.465
2014-07-24 20:00:00,30.7258231257,37.12
2014-07-24 21:00:00,30.2801610993,40.291
2014-07-24 22:00:00,27.5595572645,38.285
2014-07-24 23:00:00,25.8449084047,25.408
2014-07-25 01:00:00,25.0788411396,26.104
2014-07-25 02:00:00,24.6031351605,31.483
2014-07-25 03:00:00,25.6846496014,18.95
2014-07-25 04:00:00,21.4436231009,10.221
2014-07-25 05:00:00,20.2474837141,13.246
2014-07-25 06:00:00,22.8738816991,9.3257
2014-07-25 07:00:00,27.8773129441,27.534
2014-07-25 08:00:00,37.3935045418,16.573
2014-07-25 09:00:00,39.4712226858,25.453
