date,O3_fit,O3_ppb
2014-07-21 14:00:00,57.8119146107,47.055
2014-07-21 17:00:00,58.989204675,70.817
2014-07-21 18:00:00,55.4170691404,40.036
2014-07-21 19:00:00,53.7348026282,28.114
2014-07-21 20:00:00,51.5368261776,37.407
2014-07-21 21:00:00,25.5420353324,24.421
2014-07-21 22:00:00,21.9596990851,20.737
2014-07-22 00:00:00,15.2084500017,18.399
2014-07-22 01:00:00,17.1634268841,23.846
2014-07-22 02:00:00,17.4405731401,30.23
2014-07-22 03:00:00,14.9633559506,19.113
2014-07-22 04:00:00,15.0346990696,11.892
2014-07-22 05:00:00,16.6648543992,15.849
2014-07-22 06:00:00,19.9996532446,11.502
2014-07-22 07:00:00,30.4342549766,30.335
2014-07-22 09:00:00,49.6464485559,37.92
2014-07-22 10:00:00,54.0633097254,49.443
2014-07-22 11:00:00,61.7246666087,61.38
2014-07-22 14:00:00,66.9027456217,66.704
2014-07-22 15:00:00,67.5681560625,73.781
2014-07-22 19:00:00,57.4068059839,71.833
2014-07-22 20:00:00,40.1118116154,31.863
2014-07-22 21:00:00,29.4400926509,16.976
2014-07-22 22:00:00,27.3862999003,18.745
2014-07-22 23:00:00,26.7061033023,17.913
2014-07-23 00:00:00,26.2227854752,17.417
2014-07-23 01:00:00,24.4547440078,23.425
2014-07-23 02:00:00,23.7243387499,27.487
2014-07-23 03:00:00,22.7577086751,30.111
2014-07-23 04:00:00,21.642472496,28.492
2014-07-23 05:00:00,21.7391987936,18.726
2014-07-23 06:00:00,21.0482051293,14.122
2014-07-23 07:00:00,36.5905439431,17.165
2014-07-23 08:00:00,35.0222586038,33.384
2014-07-23 09:00:00,34.0187994966,47.058
2014-07-23 11:00:00,53.1632645933,49.733
2014-07-23 12:00:00,69.9009946706,67.391
2014-07-23 13:00:00,73.0423310594,82.948
2014-07-23 14:00:00,60.3685586292,76.146
2014-07-23 15:00:00,55.4841317013,76.0
2014-07-23 16:00:00,62.0776963672,60.976
2014-07-23 17:00:00,45.9895934419,51.288
2014-07-23 18:00:00,40.3207848802,42.619
2014-07-23 19:00:00,33.4080270592,44.987
2014-07-23 20:00:00,30.0644790489,45.301
2014-07-23 21:00:00,28.4562963622,34.732
2014-07-23 22:00:00,22.9166555262,29.359
2014-07-23 23:00:00,19.9138719474,20.007
2014-07-24 00:00:00,16.2741934968,14.604
2014-07-24 01:00:00,20.4107792695,11.77
2014-07-24 03:00:00,17.8199891646,13.851
2014-07-24 04:00:00,20.7564966217,19.341
2014-07-24 05:00:00,18.9573570837,20.896
2014-07-24 06:00:00,14.415379633,19.704
2014-07-24 07:00:00,28.6151141636,33.954
2014-07-24 08:00:00,47.2709102101,21.7
2014-07-24 09:00:00,57.7736947095,31.244
2014-07-24 10:00:00,63.6887160955,49.9
2014-07-24 11:00:00,58.7766831714,58.67
2014-07-24 12:00:00,62.3048830456,59.448
2014-07-24 13:00:00,59.6925689783,36.618
2014-07-24 14:00:00,53.5393191117,28.689
2014-07-24 15:00:00,62.8683845521,53.534
2014-07-24 16:00:00,58.3667628609,62.773
2014-07-24 17:00:00,53.9677461745,58.659
2014-07-24 19:00:00,38.2933359001,51.098
2014-07-24 20:00:00,35.4583786192,46.736
2014-07-24 21:00:00,29.8675380431,26.262
2014-07-24 22:00:00,24.9763282149,28.431
2014-07-25 00:00:00,20.5263944585,19.922
2014-07-25 01:00:00,20.5661135483,23.261
2014-07-25 02:00:00,19.6193123246,23.238
2014-07-25 03:00:00,20.0544584727,23.817
2014-07-25 04:00:00,19.8050132392,20.746
2014-07-25 05:00:00,20.6390351357,11.246
2014-07-25 06:00:00,18.5941643464,14.993
2014-07-25 07:00:00,19.4276400738,31.133
2014-07-25 08:00:00,51.040464071,23.45
2014-07-25 09:00:00,57.0379168119,33.332
