year,month,day,hour,min,sec,close_hour,cmin,csec,open_hour,omin,osec,camb,close_month,close_day
2014,7,18,16,17,2,16,39,3,16,38,33,1,7,18
2014,7,18,17,20,39,17,42,45,17,42,15,1,7,18
2014,7,18,18,24,17,18,46,18,18,45,48,1,7,18
2014,7,18,19,27,46,19,49,44,19,49,14,1,7,18
2014,7,18,20,31,20,20,53,25,20,52,55,1,7,18
2014,7,18,21,35,4,21,57,12,21,56,41,1,7,18
2014,7,18,22,38,52,23,1,1,23,0,31,1,7,18
2014,7,18,23,42,43,0,4,50,0,4,20,1,7,19
2014,7,19,0,46,26,1,8,34,1,8,4,1,7,19
2014,7,19,1,50,17,2,12,29,2,11,59,1,7,19
2014,7,19,2,54,20,3,16,31,3,16,1,1,7,19
2014,7,19,3,58,23,4,20,34,4,20,3,1,7,19
2014,7,19,5,2,23,5,24,34,5,24,3,1,7,19
2014,7,19,6,6,22,6,28,34,6,28,4,1,7,19
2014,7,19,7,10,22,7,32,31,7,32,1,1,7,19
2014,7,19,8,14,12,8,36,22,8,35,51,1,7,19
2014,7,19,9,18,0,9,40,5,9,39,35,1,7,19
2014,7,19,10,21,56,10,44,12,10,43,41,1,7,19
2014,7,19,11,26,8,11,48,25,11,47,55,1,7,19
2014,7,19,12,30,21,12,52,38,12,52,7,1,7,19
2014,7,19,13,34,35,13,56,53,13,56,22,1,7,19
2014,7,19,14,38,50,15,1,8,15,0,38,1,7,19
2014,7,19,15,43,8,16,5,25,16,4,54,1,7,19
2014,7,19,16,47,22,17,9,38,17,9,7,1,7,19
2014,7,19,17,51,35,18,13,52,18,13,22,1,7,19
2014,7,19,18,55,46,19,17,59,19,17,29,1,7,19
2014,7,19,19,59,52,20,22,4,20,21,34,1,7,19
2014,7,19,21,4,0,21,26,15,21,25,45,1,7,19
2014,7,19,22,8,10,22,30,26,22,29,56,1,7,19
2014,7,19,23,12,21,23,34,38,23,34,7,1,7,19
2014,7,20,0,16,30,0,38,43,0,38,12,1,7,20
2014,7,20,1,20,31,1,42,43,1,42,12,1,7,20
2014,7,20,2,24,29,2,46,41,2,46,11,1,7,20
2014,7,20,3,28,28,3,50,40,3,50,9,1,7,20
2014,7,20,4,32,26,4,54,38,4,54,7,1,7,20
2014,7,20,5,36,25,5,58,36,5,58,6,1,7,20
2014,7,20,6,40,23,7,2,34,7,2,3,1,7,20
2014,7,20,7,44,18,8,6,28,8,5,57,1,7,20
2014,7,20,8,48,16,9,10,21,9,9,51,1,7,20
2014,7,20,9,52,12,10,14,25,10,13,55,1,7,20
2014,7,20,10,56,21,11,18,36,11,18,6,1,7,20
2014,7,20,12,0,34,12,22,50,12,22,19,1,7,20
2014,7,20,13,4,49,13,27,5,13,26,34,1,7,20
2014,7,20,14,9,4,14,31,22,14,30,52,1,7,20
2014,7,20,15,13,22,15,35,39,15,35,9,1,7,20
2014,7,20,16,17,34,16,39,52,16,39,21,1,7,20
2014,7,20,17,21,43,17,43,57,17,43,27,1,7,20
2014,7,20,18,25,50,18,48,4,18,47,34,1,7,20
2014,7,20,19,29,56,19,52,12,19,51,41,1,7,20
2014,7,20,20,34,7,20,56,23,20,55,53,1,7,20
2014,7,20,21,38,21,22,0,37,22,0,6,1,7,20
2014,7,20,22,42,31,23,4,46,23,4,15,1,7,20
2014,7,20,23,46,40,0,8,51,0,8,21,1,7,21
2014,7,21,0,50,39,1,12,49,1,12,19,1,7,21
2014,7,21,1,54,37,2,16,46,2,16,15,1,7,21
2014,7,21,2,58,31,3,20,39,3,20,8,1,7,21
2014,7,21,4,2,21,4,24,29,4,23,59,1,7,21
2014,7,21,5,6,12,5,28,22,5,27,51,1,7,21
2014,7,21,6,10,4,6,32,13,6,31,42,1,7,21
2014,7,21,7,13,56,7,36,4,7,35,33,1,7,21
2014,7,21,8,17,48,8,39,59,8,39,28,1,7,21
2014,7,21,9,21,46,9,43,57,9,43,27,1,7,21
2014,7,21,10,25,48,10,48,4,10,47,33,1,7,21
2014,7,21,13,33,17,13,55,20,13,54,49,1,7,21
2014,7,21,14,36,45,14,58,45,14,58,15,1,7,21
2014,7,21,15,40,15,16,2,16,16,1,45,1,7,21
2014,7,21,16,43,46,17,5,46,17,5,16,1,7,21
2014,7,21,17,47,22,18,9,27,18,8,57,1,7,21
2014,7,21,18,51,3,19,13,7,19,12,37,1,7,21
2014,7,21,19,54,44,20,16,47,20,16,17,1,7,21
2014,7,21,20,58,27,21,20,32,21,20,2,1,7,21
