year,month,day,hour,min,sec,close_hour,cmin,csec,open_hour,omin,osec,camb,close_month,close_day
2014,7,17,1,1,1,18,4,24,18,3,53,1,1,1
2014,7,17,1,1,1,19,7,6,19,6,36,1,1,1
2014,7,17,1,1,1,20,9,52,20,9,21,1,1,1
2014,7,17,1,1,1,21,12,34,21,12,4,1,1,1
2014,7,17,1,1,1,22,15,16,22,14,46,1,1,1
2014,7,17,1,1,1,23,17,58,23,17,28,1,1,1
2014,7,18,1,1,1,0,20,37,0,20,7,1,1,1
2014,7,18,1,1,1,1,23,9,1,22,39,1,1,1
2014,7,18,1,1,1,2,25,42,2,25,11,1,1,1
2014,7,18,1,1,1,3,28,18,3,27,47,1,1,1
2014,7,18,1,1,1,4,31,2,4,30,31,1,1,1
2014,7,18,1,1,1,5,33,43,5,33,12,1,1,1
2014,7,18,1,1,1,6,36,28,6,35,58,1,1,1
2014,7,18,1,1,1,7,39,20,7,38,50,1,1,1
2014,7,18,1,1,1,8,42,13,8,41,42,1,1,1
2014,7,18,1,1,1,9,45,6,9,44,36,1,1,1
2014,7,18,1,1,1,10,48,8,10,47,38,1,1,1
2014,7,18,1,1,1,11,51,12,11,50,42,1,1,1
2014,7,18,1,1,1,16,37,7,16,36,37,1,1,1
2014,7,18,1,1,1,17,39,49,17,39,19,1,1,1
2014,7,18,1,1,1,18,42,32,18,42,2,1,1,1
2014,7,18,1,1,1,19,45,14,19,44,43,1,1,1
2014,7,18,1,1,1,20,47,56,20,47,25,1,1,1
2014,7,18,1,1,1,21,50,41,21,50,11,1,1,1
2014,7,18,1,1,1,22,53,26,22,52,56,1,1,1
2014,7,18,1,1,1,23,56,7,23,55,37,1,1,1
2014,7,19,1,1,1,0,58,38,0,58,8,1,1,1
2014,7,19,1,1,1,2,1,12,2,0,42,1,1,1
2014,7,19,1,1,1,3,3,55,3,3,24,1,1,1
2014,7,19,1,1,1,4,6,38,4,6,8,1,1,1
2014,7,19,1,1,1,5,9,22,5,8,52,1,1,1
2014,7,19,1,1,1,6,12,7,6,11,36,1,1,1
2014,7,19,1,1,1,7,14,51,7,14,21,1,1,1
2014,7,19,1,1,1,8,17,36,8,17,6,1,1,1
2014,7,19,1,1,1,9,20,30,9,20,0,1,1,1
2014,7,19,1,1,1,10,23,27,10,22,57,1,1,1
2014,7,19,1,1,1,11,26,32,11,26,2,1,1,1
2014,7,19,1,1,1,12,29,38,12,29,8,1,1,1
2014,7,19,1,1,1,13,32,45,13,32,15,1,1,1
2014,7,19,1,1,1,14,35,53,14,35,22,1,1,1
2014,7,19,1,1,1,15,38,57,15,38,27,1,1,1
2014,7,19,1,1,1,16,42,1,16,41,30,1,1,1
2014,7,19,1,1,1,17,45,4,17,44,34,1,1,1
2014,7,19,1,1,1,18,48,9,18,47,38,1,1,1
2014,7,19,1,1,1,19,51,15,19,50,44,1,1,1
2014,7,19,1,1,1,20,54,22,20,53,51,1,1,1
2014,7,19,1,1,1,21,57,29,21,56,58,1,1,1
2014,7,19,1,1,1,23,0,36,23,0,6,1,1,1
2014,7,20,1,1,1,0,3,38,0,3,8,1,1,1
2014,7,20,1,1,1,1,6,30,1,5,59,1,1,1
2014,7,20,1,1,1,2,9,22,2,8,51,1,1,1
2014,7,20,1,1,1,3,12,13,3,11,43,1,1,1
2014,7,20,1,1,1,4,15,5,4,14,34,1,1,1
2014,7,20,1,1,1,5,17,57,5,17,26,1,1,1
2014,7,20,1,1,1,6,20,50,6,20,19,1,1,1
2014,7,20,1,1,1,7,23,44,7,23,13,1,1,1
2014,7,20,1,1,1,8,26,36,8,26,6,1,1,1
2014,7,20,1,1,1,9,29,30,9,29,0,1,1,1
2014,7,20,1,1,1,10,32,29,10,31,59,1,1,1
2014,7,20,1,1,1,11,35,33,11,35,2,1,1,1
2014,7,20,1,1,1,12,38,39,12,38,8,1,1,1
2014,7,20,1,1,1,13,41,46,13,41,15,1,1,1
2014,7,20,1,1,1,14,44,53,14,44,23,1,1,1
2014,7,20,1,1,1,15,48,0,15,47,30,1,1,1
2014,7,20,1,1,1,16,51,8,16,50,38,1,1,1
2014,7,20,1,1,1,17,54,16,17,53,45,1,1,1
2014,7,20,1,1,1,18,57,23,18,56,53,1,1,1
2014,7,20,1,1,1,20,0,29,19,59,59,1,1,1
2014,7,20,1,1,1,21,3,32,21,3,2,1,1,1
2014,7,20,1,1,1,22,6,35,22,6,5,1,1,1
2014,7,20,1,1,1,23,9,38,23,9,8,1,1,1
2014,7,21,1,1,1,0,12,38,0,12,7,1,1,1
2014,7,21,1,1,1,1,15,28,1,14,57,1,1,1
2014,7,21,1,1,1,2,18,18,2,17,47,1,1,1
2014,7,21,1,1,1,9,38,11,9,37,40,1,1,1
2014,7,21,1,1,1,4,23,56,4,23,26,1,1,1
2014,7,21,1,1,1,5,26,44,5,26,14,1,1,1
2014,7,21,1,1,1,6,29,33,6,29,2,1,1,1
2014,7,21,1,1,1,7,32,23,7,31,53,1,1,1
2014,7,21,1,1,1,8,35,17,8,34,47,1,1,1
2014,7,21,1,1,1,10,41,12,10,40,41,1,1,1
2014,7,21,1,1,1,13,53,41,13,53,10,1,1,1
2014,7,21,1,1,1,14,56,26,14,55,56,1,1,1
