date,O3_fit,O3_ppb
2014-07-21 14:00:00,54.7102807273,47.055
2014-07-21 17:00:00,58.0202623085,70.817
2014-07-21 18:00:00,52.6796401375,40.036
2014-07-21 19:00:00,55.0040149789,28.114
2014-07-21 20:00:00,53.1146985525,37.407
2014-07-21 21:00:00,22.3377472775,24.421
2014-07-21 22:00:00,18.8810938635,20.737
2014-07-22 00:00:00,13.4638068628,18.399
2014-07-22 01:00:00,15.2972516798,23.846
2014-07-22 02:00:00,20.4790377377,30.23
2014-07-22 03:00:00,14.3084146445,19.113
2014-07-22 04:00:00,16.4357513853,11.892
2014-07-22 05:00:00,21.6977112823,15.849
2014-07-22 06:00:00,18.8750120766,11.502
2014-07-22 07:00:00,27.6905283166,30.335
2014-07-22 09:00:00,48.8799812657,37.92
2014-07-22 10:00:00,55.2897297237,49.443
2014-07-22 11:00:00,62.6879432852,61.38
2014-07-22 14:00:00,67.0719544288,66.704
2014-07-22 15:00:00,68.4735729808,73.781
2014-07-22 19:00:00,58.355508972,71.833
2014-07-22 20:00:00,39.0014070511,31.863
2014-07-22 21:00:00,27.5633962324,16.976
2014-07-22 22:00:00,27.8405817525,18.745
2014-07-22 23:00:00,27.8924332793,17.913
2014-07-23 00:00:00,25.7323525755,17.417
2014-07-23 01:00:00,22.9414225986,23.425
2014-07-23 02:00:00,22.5341559193,27.487
2014-07-23 03:00:00,20.8293191206,30.111
2014-07-23 04:00:00,21.1982623328,28.492
2014-07-23 05:00:00,20.2006618872,18.726
2014-07-23 06:00:00,21.1454970103,14.122
2014-07-23 07:00:00,35.6982852245,17.165
2014-07-23 08:00:00,32.0550904798,33.384
2014-07-23 09:00:00,32.215023584,47.058
2014-07-23 11:00:00,54.6074920132,49.733
2014-07-23 12:00:00,72.0025322658,67.391
2014-07-23 13:00:00,73.7634537866,82.948
2014-07-23 14:00:00,60.7926107588,76.146
2014-07-23 15:00:00,58.8057217841,76.0
2014-07-23 16:00:00,57.1614374937,60.976
2014-07-23 17:00:00,47.7956715241,51.288
2014-07-23 18:00:00,38.086324523,42.619
2014-07-23 19:00:00,32.6449006539,44.987
2014-07-23 20:00:00,32.0341340447,45.301
2014-07-23 21:00:00,32.5148535456,34.732
2014-07-23 22:00:00,29.5869830499,29.359
2014-07-23 23:00:00,24.7870530208,20.007
2014-07-24 01:00:00,21.5401509115,11.77
2014-07-24 03:00:00,21.941179552,13.851
2014-07-24 04:00:00,22.9263770321,19.341
2014-07-24 05:00:00,21.4518073771,20.896
2014-07-24 06:00:00,20.539960697,19.704
2014-07-24 07:00:00,42.4751736882,33.954
2014-07-24 08:00:00,52.7324971801,21.7
2014-07-24 09:00:00,65.5324388555,31.244
2014-07-24 10:00:00,57.0191077379,49.9
2014-07-24 11:00:00,56.5267418205,58.67
2014-07-24 12:00:00,58.4329237262,59.448
2014-07-24 13:00:00,61.50246949,36.618
2014-07-24 14:00:00,60.5408477313,28.689
2014-07-24 15:00:00,64.3795091603,53.534
2014-07-24 16:00:00,66.2155738369,62.773
2014-07-24 17:00:00,60.9568840375,58.659
2014-07-24 19:00:00,53.607343281,51.098
2014-07-24 20:00:00,45.3716936868,46.736
2014-07-24 21:00:00,41.6721506,26.262
2014-07-24 22:00:00,37.6689154078,28.431
2014-07-24 23:00:00,32.0260844045,14.913
2014-07-25 00:00:00,29.6915420735,19.922
2014-07-25 01:00:00,29.0209509074,23.261
2014-07-25 02:00:00,28.0222658552,23.238
2014-07-25 03:00:00,25.5764589282,23.817
2014-07-25 04:00:00,25.3922175213,20.746
2014-07-25 05:00:00,22.8562850202,11.246
2014-07-25 06:00:00,20.2435733669,14.993
2014-07-25 07:00:00,32.3966325392,31.133
2014-07-25 08:00:00,59.5712738604,23.45
2014-07-25 09:00:00,65.4131434899,33.332
