year,month,day,hour,min,sec,close_hour,cmin,csec,open_hour,omin,osec,camb,close_month,close_day
2014,7,10,1,1,1,15,41,55,15,41,25,1,1,1
2014,7,10,1,1,1,16,44,10,16,43,40,1,1,1
2014,7,10,1,1,1,17,46,24,17,45,54,1,1,1
2014,7,10,1,1,1,18,48,33,18,48,3,1,1,1
2014,7,10,1,1,1,19,50,41,19,50,11,1,1,1
2014,7,10,1,1,1,20,52,49,20,52,19,1,1,1
2014,7,10,1,1,1,21,54,58,21,54,27,1,1,1
2014,7,10,1,1,1,22,57,6,22,56,36,1,1,1
2014,7,10,1,1,1,23,59,14,23,58,44,1,1,1
2014,7,11,1,1,1,1,1,21,1,0,50,1,1,1
2014,7,11,1,1,1,2,3,36,2,3,6,1,1,1
2014,7,11,1,1,1,3,5,52,3,5,21,1,1,1
2014,7,11,1,1,1,4,8,8,4,7,37,1,1,1
2014,7,11,1,1,1,5,10,24,5,9,54,1,1,1
2014,7,11,1,1,1,6,12,42,6,12,11,1,1,1
2014,7,11,1,1,1,7,14,58,7,14,28,1,1,1
2014,7,11,1,1,1,8,17,16,8,16,45,1,1,1
2014,7,11,1,1,1,9,19,37,9,19,7,1,1,1
2014,7,11,1,1,1,10,22,6,10,21,36,1,1,1
2014,7,11,1,1,1,11,24,37,11,24,7,1,1,1
2014,7,11,1,1,1,12,27,12,12,26,42,1,1,1
2014,7,11,1,1,1,13,29,53,13,29,23,1,1,1
2014,7,11,1,1,1,14,32,35,14,32,4,1,1,1
2014,7,11,1,1,1,15,35,12,15,34,42,1,1,1
2014,7,11,1,1,1,16,37,42,16,37,11,1,1,1
2014,7,11,1,1,1,17,40,11,17,39,41,1,1,1
2014,7,11,1,1,1,18,42,41,18,42,10,1,1,1
2014,7,11,1,1,1,19,45,10,19,44,40,1,1,1
2014,7,11,1,1,1,20,47,40,20,47,10,1,1,1
2014,7,11,1,1,1,21,50,11,21,49,40,1,1,1
2014,7,11,1,1,1,22,52,41,22,52,11,1,1,1
2014,7,11,1,1,1,23,55,12,23,54,42,1,1,1
