date,c_open,c_close
7/18/14 16:39,41.183,42.369
7/18/14 17:42,49.626,37.207
7/18/14 18:46,26.638,46.415
7/18/14 19:49,34.02,18.391
7/18/14 20:53,30.356,30.103
7/18/14 21:57,15.35,5.192
7/18/14 23:01,1.8739,0.76232
7/19/14 0:04,1.5232,0.78261
7/19/14 1:08,0.55379,0.71288
7/19/14 2:12,15.646,16.935
7/19/14 3:16,11.372,11.657
7/19/14 4:20,15.643,11.095
7/19/14 5:24,16.496,13.611
7/19/14 6:28,21.491,16.247
7/19/14 7:32,21.454,22.667
7/19/14 8:36,0.8529,1.779
7/19/14 9:40,1.1804,2.0042
7/19/14 10:44,138.71,17.495
7/19/14 11:48,23.742,45.986
7/19/14 12:52,64.69,40.778
7/19/14 13:56,82.562,53.377
7/19/14 15:01,39.75,47.411
7/19/14 16:05,46.784,53.955
7/19/14 17:09,76.257,51.061
7/19/14 18:13,65.339,42.931
7/19/14 19:17,52.532,36.176
7/19/14 20:22,28.017,31.483
7/19/14 21:26,18.575,26.134
7/19/14 22:30,17.26,27.974
7/20/14 23:34,30.814,25.924
7/20/14 0:38,45.807,32.948
7/20/14 1:42,43.941,26.857
7/20/14 2:46,26.136,2.9674
7/20/14 3:50,3.1248,2.9985
7/20/14 4:54,2.858,2.9949
7/20/14 5:58,2.9023,3.0362
7/20/14 7:02,2.3638,3.05
7/20/14 8:06,1.375,2.8043
7/20/14 9:10,24.133,33.67
7/20/14 10:14,26.957,30.425
7/20/14 11:18,48.369,55.947
7/20/14 12:22,61.909,42.196
7/20/14 13:27,44.749,45.287
7/20/14 14:31,32.308,39.772
7/20/14 15:35,67.792,51.548
7/20/14 16:39,62.29,53.166
7/20/14 17:43,61.366,60.514
7/20/14 18:48,4.4152,6.6538
7/20/14 19:52,3.2797,6.9174
7/20/14 20:56,23.875,27.43
7/20/14 22:00,34.425,35.751
7/20/14 23:04,37.173,23.192
7/21/14 0:08,33.142,17.531
7/21/14 1:12,30.307,21.812
7/21/14 2:16,29.114,23.411
7/21/14 3:20,28.755,11.414
7/21/14 4:24,18.561,21.159
7/21/14 5:28,11.128,15.363
7/21/14 6:32,13.85,18.429
7/21/14 7:36,25.654,22.581
7/21/14 8:39,36.172,23.774
7/21/14 9:43,41.244,23.129
7/21/14 13:55,23.533,28.706
7/21/14 14:58,47.055,26.614
7/21/14 17:05,70.817,43.332
7/21/14 18:09,40.036,40.173
7/21/14 19:13,28.114,42.889
7/21/14 20:16,37.407,6.9174
7/21/14 21:20,24.421,13.247
7/21/14 22:24,20.737,17.972
7/22/14 23:28,17.913,10.929
7/22/14 0:32,18.399,11.304
7/22/14 1:35,23.846,10.885
7/22/14 2:39,30.23,22.976
7/22/14 3:43,19.113,21.357
7/22/14 4:47,11.892,27.249
7/22/14 5:51,15.849,10.574
7/22/14 6:55,11.502,17.158
7/22/14 7:59,30.335,30.127
7/22/14 9:02,37.92,28.625
7/22/14 10:06,49.443,38.084
7/22/14 11:10,61.38,43.483
7/22/14 13:46,38.647,40.05
7/22/14 14:49,66.704,45.881
7/22/14 15:53,73.781,41.79
7/22/14 19:04,71.833,53.559
7/22/14 20:08,31.863,43.476
7/22/14 21:12,16.976,19.564
7/22/14 22:16,18.745,25.286
7/23/14 23:20,20.007,30.165
7/23/14 0:24,17.417,24.648
7/23/14 1:28,23.425,32.361
7/23/14 2:32,27.487,26.698
7/23/14 3:35,30.111,20.222
7/23/14 4:39,28.492,6.892
7/23/14 5:43,18.726,8.4045
7/23/14 6:47,14.122,14.757
7/23/14 7:51,17.165,24.184
7/23/14 8:55,33.384,29.5
7/23/14 9:58,47.058,32.597
7/23/14 11:02,49.733,34.779
7/23/14 12:06,67.391,39.596
7/23/14 13:10,82.948,49.567
7/23/14 14:14,76.146,53.376
7/23/14 15:18,76,48.186
7/23/14 16:22,60.976,49.22
7/23/14 17:26,51.288,36.566
7/23/14 18:30,42.619,30.58
7/23/14 19:34,44.987,34.545
7/23/14 20:38,45.301,37.979
7/23/14 21:42,34.732,29.17
7/23/14 22:46,29.359,25.536
7/24/14 23:51,14.913,25.408
7/24/14 0:55,14.604,9.1023
7/24/14 1:59,11.77,17.629
7/24/14 3:03,13.851,16.836
7/24/14 4:07,19.341,20.441
7/24/14 5:10,20.896,15.789
7/24/14 6:14,19.704,6.6863
7/24/14 7:18,33.954,16.487
7/24/14 8:22,21.7,16.666
7/24/14 9:26,31.244,31.167
7/24/14 10:30,49.9,29.128
7/24/14 11:34,58.67,31.456
7/24/14 12:39,59.448,64.47
7/24/14 13:43,36.618,38.332
7/24/14 14:47,28.689,41.502
7/24/14 15:51,53.534,54.876
7/24/14 16:55,62.773,47.808
7/24/14 17:59,58.659,54.672
7/24/14 19:03,51.098,31.465
7/24/14 20:08,46.736,37.12
7/24/14 21:12,26.262,40.291
7/24/14 22:16,28.431,38.285
7/25/14 23:20,22.617,36.267
7/25/14 0:24,19.922,27.712
7/25/14 1:28,23.261,26.104
7/25/14 2:32,23.238,31.483
7/25/14 3:36,23.817,18.95
7/25/14 4:40,20.746,10.221
7/25/14 5:44,11.246,13.246
7/25/14 6:48,14.993,9.3257
7/25/14 7:51,31.133,27.534
7/25/14 8:55,23.45,16.573
7/25/14 9:59,33.332,25.453
7/25/14 15:43,48.062,40.487
7/25/14 16:46,52.657,38.154
7/25/14 17:50,28.807,39.32
7/25/14 18:53,56.074,43.247
7/25/14 19:57,52.533,35.741
7/25/14 21:01,22.687,38.648
7/25/14 22:05,22.163,31.309
7/25/14 23:08,39.598,30.421
