date,c_open,c_close,flux
2014-7-25 23:50:22.251,39.041,30.421,-0.12
2014-7-26 0:53:59.151,39.044,29.445,-0.13
2014-7-26 1:57:59.451,45.863,35.622,-0.14
2014-7-26 3:1:58.851,46.72,32.611,-0.2
2014-7-26 5:9:57.651,33.52,16.066,-0.24
2014-7-26 6:13:54.351,38.658,22.115,-0.23
2014-7-26 7:17:51.951,41.852,35.236,-0.09
2014-7-26 8:21:45.951,23.938,18.167,-0.08
2014-7-26 12:37:43.551,56.069,37.641,-0.26
2014-7-26 13:41:49.251,64.97,41.699,-0.32
2014-7-26 14:45:57.651,73.483,46.33,-0.38
2014-7-26 15:50:4.251,65.368,43.995,-0.3
2014-7-26 16:54:6.351,59.309,43.691,-0.22
2014-7-26 17:58:9.351,64.645,42.319,-0.31
2014-7-26 19:2:11.451,60.78,43.541,-0.24
2014-7-26 20:6:18.951,42.874,32.461,-0.14
2014-7-26 21:10:28.251,54.682,28.562,-0.36
2014-7-26 22:14:38.451,49.482,40.359,-0.13
2014-7-26 23:18:48.651,43.502,37.416,-0.08
2014-7-27 4:38:43.851,25.05,14.382,-0.15
2014-7-27 5:42:40.551,20.326,12.773,-0.11
2014-7-27 8:54:3.651,29.289,25.927,-0.05
2014-7-27 9:57:54.951,34.167,28.417,-0.08
2014-7-27 11:1:52.551,37.601,28.546,-0.13
2014-7-27 13:9:51.351,54.47,33.324,-0.29
2014-7-27 14:13:51.651,60.757,42.204,-0.26
2014-7-27 15:17:51.951,63.271,40.464,-0.32
2014-7-27 16:21:52.251,62.176,41.252,-0.29
2014-7-27 17:25:54.351,72.006,45.013,-0.38
2014-7-27 18:29:54.651,64.005,43.754,-0.28
2014-7-27 19:33:56.751,60.883,42.606,-0.25
2014-7-27 20:37:57.951,55.228,45.933,-0.13
2014-7-27 21:42:5.451,49.648,33.117,-0.23
2014-7-27 22:46:14.751,44.921,30.455,-0.2
2014-7-27 23:50:22.251,42.462,29.599,-0.18
2014-7-28 1:58:20.151,39.536,23.42,-0.22
2014-7-28 3:2:17.751,16.893,6.3188,-0.15
2014-7-28 6:13:55.251,17.675,11.393,-0.09
2014-7-28 8:21:30.651,32.489,27.648,-0.07
2014-7-28 9:25:16.551,42.088,32.432,-0.13
2014-7-28 10:29:8.751,49.02,31.757,-0.24
2014-7-28 11:33:12.651,55.87,44.722,-0.16
2014-7-28 12:37:16.551,65.626,46.204,-0.27
2014-7-28 13:20:3.351,73.693,45.487,-0.39
2014-7-28 16:15:53.383,86.511,64.764,-0.3
2014-7-28 17:19:41.983,76.116,65.977,-0.14
2014-7-28 18:23:32.383,64.484,48.39,-0.22
2014-7-28 19:27:20.983,67.893,46.83,-0.29
2014-7-28 21:35:19.783,32.548,24.616,-0.11
2014-7-28 22:39:20.983,27.786,19.555,-0.11
2014-7-28 23:43:20.383,27.091,10.68,-0.23
2014-7-29 1:51:11.983,30.263,11.249,-0.26
2014-7-29 2:55:10.483,12.511,5.9947,-0.09
2014-7-29 6:7:5.983,23.261,10.317,-0.18
2014-7-29 7:11:1.783,30.288,22.897,-0.1
2014-7-29 8:14:52.183,39.619,31.942,-0.11
2014-7-29 9:18:44.383,43.222,37.345,-0.08
2014-7-31 10:48:37.473,43.807,23.807,-0.28
2014-7-31 11:52:22.473,47.508,23.69,-0.33
2014-7-31 12:56:5.673,52.064,24.574,-0.38
2014-7-31 13:59:42.573,55.35,29.967,-0.35
2014-7-31 15:3:18.573,60.267,30.553,-0.41
2014-7-31 16:6:56.373,59.986,35.463,-0.34
2014-7-31 17:10:35.973,66.895,42.17,-0.34
2014-7-31 18:14:15.573,70.134,42.498,-0.38
2014-7-31 19:18:7.773,70.923,40.977,-0.42
2014-7-31 21:26:10.173,23.632,8.3712,-0.21
2014-7-31 23:34:22.473,31.073,21.159,-0.14
2014-8-1 0:38:17.373,34.308,20.37,-0.19
2014-8-1 1:42:4.173,32.313,18.195,-0.2
2014-8-1 2:45:49.173,23.555,16.661,-0.1
2014-8-1 3:49:34.173,16.061,9.6636,-0.09
2014-8-1 4:53:21.873,24.741,17.408,-0.1
2014-8-1 5:57:7.773,24.56,12.851,-0.16
2014-8-1 7:0:51.873,15.192,7.603,-0.11
2014-8-1 8:4:28.773,22.012,17.359,-0.06
2014-8-1 9:8:4.773,30.989,19.811,-0.16
2014-8-1 11:15:37.473,54.368,30.593,-0.33
2014-8-1 13:23:25.473,53.305,31.793,-0.3
2014-8-1 14:27:21.273,61.931,41.182,-0.29
2014-8-1 15:31:17.973,56.606,36.336,-0.28
2014-8-1 16:35:11.973,58.993,34.157,-0.35
2014-8-1 17:39:6.873,56.148,36.861,-0.27
2014-8-1 18:43:0.873,55.567,39.659,-0.22
2014-8-1 19:46:54.873,51.44,33.622,-0.25
2014-8-1 21:54:52.773,36.039,21.936,-0.2
2014-8-1 22:58:52.173,36.511,26.75,-0.14
2014-8-2 0:2:55.173,23.043,16.391,-0.09
2014-8-2 1:6:48.273,26.87,19.111,-0.11
2014-8-2 4:18:25.773,14.14,9.7119,-0.06
2014-8-2 5:22:17.973,14.166,5.0932,-0.13
2014-8-2 6:26:7.473,23.154,13.683,-0.13
2014-8-2 8:33:32.973,33.934,21.202,-0.18
2014-8-2 11:45:14.973,54.05,36.544,-0.24
2014-8-2 12:49:11.673,63.146,36.834,-0.37
2014-8-2 13:35:30.873,59.617,35.052,-0.34
2014-8-2 16:4:17.932,67.005,38.58,-0.4
2014-8-2 22:25:43.132,30.789,20.493,-0.14
2014-8-2 23:29:34.432,25.726,15.759,-0.14
2014-8-3 0:33:20.332,24.61,5.3455,-0.27
2014-8-3 1:37:13.432,28.664,19.007,-0.13
2014-8-3 2:41:7.432,27.949,22.87,-0.07
2014-8-3 4:48:48.232,28.2,20.036,-0.11
2014-8-3 5:52:32.332,30.447,8.7258,-0.3
2014-8-3 6:56:19.132,29.277,8.0545,-0.3
2014-8-3 8:0:2.332,35.318,25.051,-0.14
2014-8-3 9:3:42.832,43.164,34.463,-0.12
2014-8-3 10:7:28.732,47.622,35.263,-0.17
2014-8-3 11:11:25.432,56.686,36.116,-0.29
2014-8-3 12:15:23.932,60.714,47.224,-0.19
2014-8-3 14:23:21.832,69.064,46.305,-0.32
2014-8-3 17:35:26.332,78.357,47.317,-0.43
2014-8-3 18:39:26.632,78.61,50.498,-0.39
2014-8-3 20:47:23.632,52.482,17.008,-0.49
2014-8-3 22:55:34.132,24.861,6.2303,-0.26
2014-8-3 23:59:41.632,37.994,20.157,-0.25
2014-8-4 1:3:36.532,34.767,20.663,-0.2
2014-8-4 3:11:27.232,35.257,19.116,-0.22
2014-8-4 4:15:15.832,29.066,18.909,-0.14
2014-8-4 5:19:8.932,27.045,4.8515,-0.31
2014-8-4 7:26:52.432,26.948,24.575,-0.03
2014-8-4 8:30:39.232,33.616,23.545,-0.14
2014-8-4 9:34:28.732,37.035,28.986,-0.11
2014-8-4 10:38:27.232,51.768,37.439,-0.2
2014-8-4 13:50:44.332,69.846,56.41,-0.19
2014-8-4 14:54:49.132,67.982,45.652,-0.31
2014-8-4 15:58:55.732,67.423,40.4,-0.38
2014-8-4 17:2:58.732,65.216,51.677,-0.19
2014-8-4 18:7:0.832,55.314,47.189,-0.11
2014-8-4 19:11:3.832,52.677,48.23,-0.06
2014-8-4 21:19:18.832,31.958,13.1,-0.26
